Country,Area,StorkPairCount,HumanCount,BirthRate,Extreme
Albania,28750,100,3.2,83,FALSE
Austria,83860,300,7.6,87,FALSE
Belgium,30520,1,9.9,118,FALSE
Bulgaria,111000,5000,9,117,FALSE
Denmark,43100,9,5.1,59,FALSE
France,544000,140,56,774,FALSE
Germany,357000,3300,78,901,FALSE
Greece,132000,2500,10,106,FALSE
Holland,41900,4,15,188,FALSE
Hungary,93000,5000,11,124,FALSE
Italy,301280,5,57,551,FALSE
Poland,312680,30000,38,610,TRUE
Portugal,92390,1500,10,120,FALSE
Romania,237500,5000,23,367,FALSE
Spain,504750,8000,39,439,FALSE
Switzerland,41290,150,6.7,82,FALSE
Turkey,779450,25000,56,1576,TRUE
