Country,BirthsPer1000Pop,DeathsPer1000Pop
Niger,47.6,13.4
Mali,46.6,13.9
Uganda,45.8,11.6
Burkina Faso,43.2,12.47
Zambia,43.1,13.4
Somalia,42.12,14.55
Burundi,40.58,9.36
Malawi,40.42,12.84
"Congo, Republic of the",40.09,11.25
Angola,39.36,12.06
Mozambique,39.34,12.79
Afghanistan,39.3,14.59
Nigeria,39.23,13.48
Chad,38.7,15.16
Ethiopia,38.5,9.3
Sierra Leone,38.12,11.49
Tanzania,37.7,8.6
Benin,37.55,8.79
"Congo, Democratic Republic of the",37.05,10.8
Sao Tome and Principe,37.02,7.93
Guinea,36.6,10.19
Liberia,36.45,10.36
Senegal,36.19,9.05
Rwanda,36.14,9.64
Central African Republic,36.13,14.71
Togo,35.26,7.78
Timor-Leste,35.2,6.4
Gabon,35,13.07
Equatorial Guinea,34.88,8.81
Guinea-Bissau,34.72,15.01
Gaza Strip,34.3,3.22
Madagascar,34,7.3
"Gambia, The",33.41,7.5
Mauritania,32.78,8.66
Yemen,32.57,6.82
Cameroon,32.49,11.66
Zimbabwe,32.19,12.38
Eritrea,32.1,7.92
Ghana,32,7.7
Kenya,31.93,7.26
Sudan,31.7,8.3
Western Sahara,31.65,8.8
Comoros,31.49,8.19
Cote d'Ivoire,30.4,9.96
Iraq,28.19,4.73
Marshall Islands,28.14,4.31
Solomon Islands,27.46,3.91
Nauru,27.08,5.97
Vanuatu,27,4.3
Lesotho,26.65,15.18
Jordan,26.52,2.74
Guatemala,26.48,4.92
Swaziland,26.16,14.21
Belize,26.02,5.91
Tajikistan,25.93,6.49
Papua New Guinea,25.92,6.56
Laos,25.68,7.99
Cambodia,25.17,7.97
Philippines,24.98,4.98
Djibouti,24.91,8.08
Tonga,24.7,4.88
Honduras,24.66,5.05
Algeria,24.4,4.3
Oman,24.33,3.42
Pakistan,24.3,6.8
Bolivia,24.24,6.76
Egypt,24.22,4.8
West Bank,24.19,3.56
Kyrgyzstan,23.9,6.9
Haiti,23.87,8.1
Syria,23.52,3.67
Tuvalu,23.35,9.13
American Samoa,22.9,4.6
Bangladesh,22.53,5.71
Kiribati,22.45,7.31
Samoa,22.1,5.34
Botswana,22.02,12
"Micronesia, Federated States of",21.85,4.31
Nepal,21.85,6.75
Cape Verde,21.21,6.28
Namibia,21.11,13.09
Kuwait,20.96,2.13
Malaysia,20.74,4.95
Fiji,20.7,5.93
Mongolia,20.7,6.01
India,20.6,7.43
Kazakhstan,20.44,8.52
Northern Mariana Islands,20.2,3.4
Venezuela,19.88,5.2
Ecuador,19.6,5.01
Turkmenistan,19.55,6.21
Dominican Republic,19.44,4.41
South Africa,19.32,17.23
Saudi Arabia,19.19,3.32
Panama,19.17,4.69
Peru,19.13,5.95
Nicaragua,19.12,5.04
Burma,19.11,8.1
Morocco,18.97,4.76
Israel,18.97,5.5
Jamaica,18.89,6.59
Mexico,18.87,4.9
Bhutan,18.75,6.99
Iran,18.52,5.94
Brunei,17.74,3.39
Indonesia,17.7,6.3
Turkey,17.58,6.1
Guam,17.5,4.9
Libya,17.5,4.9
Turks and Caicos Islands,17.44,3
Suriname,17.44,6.17
El Salvador,17.44,5.63
Argentina,17.34,7.36
Uzbekistan,17.33,5.29
Azerbaijan,17.3,7.13
Tunisia,17.28,5.87
Colombia,17.23,5.29
Paraguay,17.22,4.59
Sri Lanka,17.04,5.96
Vietnam,16.83,5.95
Grenada,16.81,7.98
Guyana,16.69,7.18
Costa Rica,16.4,4.38
Antigua and Barbuda,16.19,5.72
New Caledonia,16.05,5.34
"Bahamas, The",15.95,6.91
French Polynesia,15.92,4.76
Ireland,15.81,6.38
United Arab Emirates,15.76,2.04
Dominica,15.6,8.03
Cook Islands,15.22,7.61
Brazil,15.2,6.5
Maldives,15.12,3.76
Seychelles,15.1,6.9
Lebanon,14.92,6.63
Greenland,14.58,8.22
"Korea, North",14.51,9.12
Saint Lucia,14.42,7.1
Bahrain,14.41,2.63
Saint Vincent and the Grenadines,14.36,7.02
Chile,14.3,5.8
Trinidad and Tobago,14.25,8.35
Gibraltar,14.22,8.27
Wallis and Futuna,13.91,4.79
Saint Kitts and Nevis,13.9,7.08
Mauritius,13.78,6.73
United States,13.7,8.4
New Zealand,13.57,7.2
Uruguay,13.4,9.55
Iceland,13.23,7.02
Faroe Islands,13.14,8.67
Armenia,12.9,8.49
Anguilla,12.9,4.41
Thailand,12.81,7.38
Aruba,12.76,7.92
France,12.7,8.9
Moldova,12.5,12.62
Albania,12.38,6.25
China,12.31,7.17
Russia,12.3,14.1
Australia,12.28,6.94
United Kingdom,12.27,9.33
Barbados,12.23,8.39
Cayman Islands,12.21,5.19
Macedonia,11.8,8.95
Luxembourg,11.7,8.5
Montserrat,11.62,6.78
Cyprus,11.44,6.48
Bermuda,11.42,7.74
Isle of Man,11.36,9.95
Puerto Rico,11.3,8
Jersey,11.12,7.56
Belarus,11.1,13.9
Virgin Islands,10.9,7.7
Netherlands,10.89,8.39
Montenegro,10.89,9.03
Norway,10.8,9.22
Palau,10.79,7.89
Liechtenstein,10.76,6.78
Georgia,10.75,10.05
British Virgin Islands,10.69,4.82
"Saint Helena, Ascension, and Tristan da Cunha",10.48,6.99
Estonia,10.43,13.6
Switzerland,10.4,8.1
Spain,10.4,8.88
Slovakia,10.38,9.64
Finland,10.36,10.33
Malta,10.31,8.72
Canada,10.28,8.09
Sweden,10.24,10.21
Qatar,10.23,1.55
Denmark,10.22,10.19
Guernsey,10.04,8.52
Belgium,10.03,10.63
Latvia,9.97,13.6
Poland,9.96,10.24
Cuba,9.96,7.52
Portugal,9.76,10.86
Ukraine,9.59,15.76
Croatia,9.57,11.99
Romania,9.49,11.84
Hungary,9.49,12.7
Lithuania,9.34,11.4
Andorra,9.26,6.52
Bulgaria,9.2,14.32
Serbia,9.17,13.81
Greece,9.08,10.8
Italy,9.06,9.93
Macau,9.05,3.85
Bosnia and Herzegovina,8.9,9.4
San Marino,8.9,8.06
Slovenia,8.76,11
Taiwan,8.7,6.7
Austria,8.69,10.23
Czech Republic,8.62,10.94
"Korea, South",8.42,6.38
Japan,8.39,9.15
Germany,8.33,11.04
Saint Pierre and Miquelon,8.06,8.92
Singapore,7.72,3.41
Hong Kong,7.54,7.23
Monaco,6.85,8.52
Cocos (Keeling) Islands,-9,-9
Christmas Island,-9,-9
Niue,-9,-9
Tokelau,-9,-9
Pitcairn Islands,-9,-9
Svalbard,-9,-9
Norfolk Island,-9,-9
