Country,MaternalMortper100Kbirths2010,Lifeexpectancyatbirth2011
Chad,1100,51
Somalia,1000,50
Sierra Leone,890,47
Central African Republic,890,48
Burundi,800,53
Guinea-Bissau,790,50
Liberia,770,59
Sudan,730,62
Cameroon,690,53
Nigeria,630,53
Lesotho,620,50
Guinea,610,55
Niger,590,56
Zimbabwe,570,54
Mali,540,51
Mauritania,510,59
Mozambique,490,53
Afghanistan,460,60
Malawi,460,58
Angola,450,51
Zambia,440,55
Senegal,370,61
Kenya,360,60
Benin,350,57
Ethiopia,350,60
Ghana,350,64
Haiti,350,63
Rwanda,340,60
Swaziland,320,50
Uganda,310,56
Timor-Leste,300,64
Burkina Faso,300,56
Togo,300,56
South Africa,300,58
Guyana,280,63
Comoros,280,62
Pakistan,260,67
Cambodia,250,65
Bangladesh,240,70
Equatorial Guinea,240,54
Eritrea,240,61
Madagascar,240,66
Gabon,230,62
Papua New Guinea,230,63
Indonesia,220,69
Djibouti,200,58
India,200,65
Namibia,200,65
Yemen,200,64
Belarus,190,71
Bhutan,180,67
Nepal,170,68
Botswana,160,66
Dominican Republic,150,73
Suriname,130,72
Guatemala,120,69
Tonga,110,72
Ecuador,110,76
Jamaica,110,75
Vanuatu,110,72
Morocco,100,72
Samoa,100,73
Honduras,100,74
Philippines,99,69
Paraguay,99,75
Algeria,97,73
Nicaragua,95,73
Solomon Islands,93,70
Panama,92,77
Colombia,92,78
El Salvador,81,72
Cape Verde,79,72
Argentina,77,76
Cuba,73,78
Kyrgyzstan,71,69
Sao Tome and Principe,70,63
Turkmenistan,67,63
Georgia,67,72
Peru,67,77
Egypt,66,73
Tajikistan,65,68
Iraq,63,69
Jordan,63,74
Mongolia,63,68
Mauritius,60,74
Maldives,60,77
Libya,58,65
Tunisia,56,76
Brazil,56,74
Belize,53,74
Kazakhstan,51,67
Barbados,51,78
Mexico,50,75
Saint Vincent and the Grenadines,48,74
Thailand,48,74
Trinidad and Tobago,46,71
Azerbaijan,43,71
Costa Rica,40,79
China,37,76
Sri Lanka,35,75
Saint Lucia,35,75
Latvia,34,74
Oman,32,72
Ukraine,32,71
Armenia,30,71
Uruguay,29,77
Malaysia,29,74
Uzbekistan,28,68
Albania,27,74
Romania,27,74
Fiji,26,70
Lebanon,25,74
Chile,25,79
Grenada,24,74
Saudi Arabia,24,76
Hungary,21,75
Bahrain,20,79
Turkey,20,76
Luxembourg,20,82
Croatia,17,77
New Zealand,15,81
Kuwait,14,80
United Kingdom,12,80
Slovenia,12,80
United Arab Emirates,12,76
Serbia,12,74
Canada,12,82
Denmark,12,79
Bulgaria,11,74
Cyprus,10,81
Kiribati,9,67
Bosnia and Herzegovina,8,76
France,8,82
Belgium,8,80
Malta,8,80
Switzerland,8,83
Lithuania,8,74
Montenegro,8,76
Portugal,8,80
Israel,7,82
Germany,7,81
Australia,7,82
Qatar,7,82
Norway,7,81
Ireland,6,81
Netherlands,6,81
Slovakia,6,76
Spain,6,82
Japan,5,83
Czech Republic,5,78
Poland,5,76
Iceland,5,82
Finland,5,81
Sweden,4,82
Austria,4,81
Italy,4,82
Greece,3,81
Singapore,3,82
Estonia,2,76
