"DenominatorDF","Alpha","1","2","3","4","5","6","7","8","9","10","11","12","14","16","20"
1,0.05," 161"," 199"," 216"," 225"," 230"," 234"," 237"," 239"," 241"," 242"," 243"," 244"," 245"," 246"," 248"
1,0.01,"4052","4999","5403","5625","5764","5859","5928","5981","6022","6056","6083","6106","6143","6170","6209"
2,0.05,"  18.51","  19.00","  19.16","  19.25","  19.30","  19.33","  19.35","  19.37","  19.38","  19.40","  19.40","  19.41","  19.42","  19.43","  19.45"
2,0.01,"  98.50","  99.00","  99.17","  99.25","  99.30","  99.33","  99.36","  99.37","  99.39","  99.40","  99.41","  99.42","  99.43","  99.44","  99.45"
3,0.05,"  10.13","   9.55","   9.28","   9.12","   9.01","   8.94","   8.89","   8.85","   8.81","   8.79","   8.76","   8.74","   8.71","   8.69","   8.66"
3,0.01,"  34.12","  30.82","  29.46","  28.71","  28.24","  27.91","  27.67","  27.49","  27.35","  27.23","  27.13","  27.05","  26.92","  26.83","  26.69"
4,0.05,"   7.71","   6.94","   6.59","   6.39","   6.26","   6.16","   6.09","   6.04","   6.00","   5.96","   5.94","   5.91","   5.87","   5.84","   5.80"
4,0.01,"  21.20","  18.00","  16.69","  15.98","  15.52","  15.21","  14.98","  14.80","  14.66","  14.55","  14.45","  14.37","  14.25","  14.15","  14.02"
5,0.05,"   6.61","   5.79","   5.41","   5.19","   5.05","   4.95","   4.88","   4.82","   4.77","   4.74","   4.70","   4.68","   4.64","   4.60","   4.56"
5,0.01,"  16.26","  13.27","  12.06","  11.39","  10.97","  10.67","  10.46","  10.29","  10.16","  10.05","   9.96","   9.89","   9.77","   9.68","   9.55"
6,0.05,"   5.99","   5.14","   4.76","   4.53","   4.39","   4.28","   4.21","   4.15","   4.10","   4.06","   4.03","   4.00","   3.96","   3.92","   3.87"
6,0.01,"  13.75","  10.92","   9.78","   9.15","   8.75","   8.47","   8.26","   8.10","   7.98","   7.87","   7.79","   7.72","   7.60","   7.52","   7.40"
7,0.05,"   5.59","   4.74","   4.35","   4.12","   3.97","   3.87","   3.79","   3.73","   3.68","   3.64","   3.60","   3.57","   3.53","   3.49","   3.44"
7,0.01,"  12.25","   9.55","   8.45","   7.85","   7.46","   7.19","   6.99","   6.84","   6.72","   6.62","   6.54","   6.47","   6.36","   6.28","   6.16"
8,0.05,"   5.32","   4.46","   4.07","   3.84","   3.69","   3.58","   3.50","   3.44","   3.39","   3.35","   3.31","   3.28","   3.24","   3.20","   3.15"
8,0.01,"  11.26","   8.65","   7.59","   7.01","   6.63","   6.37","   6.18","   6.03","   5.91","   5.81","   5.73","   5.67","   5.56","   5.48","   5.36"
9,0.05,"   5.12","   4.26","   3.86","   3.63","   3.48","   3.37","   3.29","   3.23","   3.18","   3.14","   3.10","   3.07","   3.03","   2.99","   2.94"
9,0.01,"  10.56","   8.02","   6.99","   6.42","   6.06","   5.80","   5.61","   5.47","   5.35","   5.26","   5.18","   5.11","   5.01","   4.92","   4.81"
10,0.05,"   4.96","   4.10","   3.71","   3.48","   3.33","   3.22","   3.14","   3.07","   3.02","   2.98","   2.94","   2.91","   2.86","   2.83","   2.77"
10,0.01,"  10.04","   7.56","   6.55","   5.99","   5.64","   5.39","   5.20","   5.06","   4.94","   4.85","   4.77","   4.71","   4.60","   4.52","   4.41"
11,0.05,"   4.84","   3.98","   3.59","   3.36","   3.20","   3.09","   3.01","   2.95","   2.90","   2.85","   2.82","   2.79","   2.74","   2.70","   2.65"
11,0.01,"   9.65","   7.21","   6.22","   5.67","   5.32","   5.07","   4.89","   4.74","   4.63","   4.54","   4.46","   4.40","   4.29","   4.21","   4.10"
12,0.05,"   4.75","   3.89","   3.49","   3.26","   3.11","   3.00","   2.91","   2.85","   2.80","   2.75","   2.72","   2.69","   2.64","   2.60","   2.54"
12,0.01,"   9.33","   6.93","   5.95","   5.41","   5.06","   4.82","   4.64","   4.50","   4.39","   4.30","   4.22","   4.16","   4.05","   3.97","   3.86"
13,0.05,"   4.67","   3.81","   3.41","   3.18","   3.03","   2.92","   2.83","   2.77","   2.71","   2.67","   2.63","   2.60","   2.55","   2.51","   2.46"
13,0.01,"   9.07","   6.70","   5.74","   5.21","   4.86","   4.62","   4.44","   4.30","   4.19","   4.10","   4.02","   3.96","   3.86","   3.78","   3.66"
